,Wages1,Hours1,Wages2,Hours2
1126,0.0,0.0,,
1127,0.0,0.0,,
1128,0.0,0.0,,
1129,0.0,0.0,,
1130,0.0,0.0,,
1131,0.0,0.0,,
1132,0.0,0.0,,
1133,0.0,0.0,,
1134,0.0,0.0,,
1135,0.0,0.0,,
1136,0.0,0.0,,
1137,0.0,0.0,,
1138,0.0,0.0,,
1139,0.0,0.0,,
1140,0.0,0.0,,
1141,0.0,0.0,,
1142,0.0,0.0,,
1143,0.0,0.0,,
1144,55.0,40.0,,
1145,0.0,0.0,,
1146,16.0,40.0,,
1147,16.0,40.0,,
1148,10.5,30.0,,
1149,0.0,0.0,,
1150,0.0,0.0,,
1151,13.11,35.0,,
1152,0.0,0.0,,
1153,20.0,40.0,,
1154,0.0,0.0,,
1155,0.0,0.0,,
1156,0.0,0.0,,
1157,0.0,0.0,,
1158,14.25,40.0,,
1159,9.79,15.0,,
1160,0.0,0.0,,
1161,11.1,30.0,,
1162,13.0,40.0,,
1163,0.0,0.0,,
1164,8.75,40.0,9.0,40.0
1165,12.74,40.0,,
1166,10.74,9.0,,
1167,0.0,0.0,,
1168,9.5,35.0,,
1169,0.0,0.0,,
1170,18.85,40.0,,
1171,7.5,40.0,,
1172,13.19,40.0,,
1173,18.75,40.0,,
1174,28.0,8.0,,
1175,15.0,40.0,,
1176,15.0,40.0,,
1177,11.0,22.0,,
1178,0.0,0.0,,
1179,12.5,40.0,,
1180,7.5,40.0,,
1181,13.0,30.0,,
1182,15.55,40.0,,
1183,12.21,40.0,,
1184,9.0,36.0,,
1185,17.0,40.0,,
1186,11.0,35.0,,
1187,0.0,0.0,,
1188,0.0,0.0,,
1189,0.0,0.0,,
1190,15.02,37.0,,
1191,0.0,0.0,,
1192,20.5,40.0,,
1193,17.5,40.0,17.72,12.0
1194,14.6,40.0,,
1195,0.0,0.0,,
1196,0.0,0.0,,
1197,9.0,35.0,,
1198,0.0,0.0,,
1199,12.0,35.0,,
1200,9.0,40.0,,
1201,13.5,40.0,,
1202,0.0,0.0,,
1203,11.0,15.0,,
1204,10.0,30.0,,
1205,9.0,37.0,,
1206,0.0,0.0,,
1207,0.0,0.0,,
1208,0.0,0.0,,
1209,0.0,0.0,,
1210,8.3,60.0,,
1211,11.0,19.0,,
1212,19.77,40.0,,
1213,0.0,0.0,,
1214,10.0,12.0,,
1215,9.0,40.0,,
1216,10.0,5.0,,
1217,20.0,37.5,,
1218,0.0,0.0,,
1219,0.0,0.0,,
1220,16.0,40.0,,
1221,12.0,40.0,,
1222,15.5,40.0,,
1223,25.75,30.0,11.0,5.0
1224,23.5,10.0,,
1225,9.5,38.0,,
1226,11.0,19.0,,
1227,6.19,25.0,,
1228,0.0,0.0,,
1229,16.31,40.0,11.5,23.0
1230,16.0,40.0,,
1231,25.0,40.0,,
1232,10.0,20.0,,
1233,0.0,0.0,,
1234,0.0,0.0,,
1235,10.0,2.0,,
1236,9.0,15.0,,
1237,0.0,0.0,,
1238,17.0,40.0,,
1239,13.0,30.0,,
1240,22.62,40.0,,
1241,13.2,30.0,,
1242,11.25,40.0,,
1243,17.5,40.0,,
1244,25.96,40.0,,
1245,17.7,40.0,,
1246,23.5,15.0,,
1247,0.0,0.0,,
1248,0.0,0.0,,
1249,0.0,0.0,,
1250,0.0,0.0,,
1251,15.15,40.0,,
1252,15.0,30.0,,
1253,17.94,40.0,,
1254,11.75,40.0,,
1255,11.86,35.0,,
1256,11.57,40.0,10.0,5.0
1257,11.25,40.0,,
1258,0.0,0.0,,
1259,15.4,40.0,,
1260,0.0,0.0,,
1261,25.0,40.0,,
1262,0.0,0.0,,
1263,10.0,35.0,,
1264,14.25,40.0,,
1265,12.0,40.0,,
1266,0.0,0.0,,
1267,9.5,23.8,9.38,14.0
1268,17.86,25.0,,
1269,13.25,40.0,0.0,0.0
1270,13.25,60.0,,
1271,8.75,40.0,,
1272,14.0,40.0,,
1273,13.0,40.0,,
1274,12.5,40.0,,
1275,13.0,40.0,12.0,2.5
