clientid,emp,emp_date
1047651,Employed Part Time,2016-10-22 00:00:00
1047657,Not employed,
1047660,Employed Full Time,
1047730,Not employed,
1047807,Not employed,
1047811,Employed Full Time,2017-08-07 00:00:00
1047825,Not employed,
1047831,Not employed,
1047855,Not employed,
1047857,Employed Full Time,2016-08-04 00:00:00
1047900,Employed Full Time,
1047913,Employed Full Time,2016-10-20 00:00:00
1047926,Employed Part Time,2016-10-20 00:00:00
1047955,Employed Part Time,2016-05-16 00:00:00
1047975,,
1048011,Employed Full Time,
1048015,Not employed,
1048028,Employed Full Time,2016-11-08 00:00:00
1048034,,
1048044,Employed Full Time,2017-10-09 00:00:00
1048056,Not employed,
1048095,Employed Full Time,2016-08-29 00:00:00
1048117,Not employed,
1048124,Employed Full Time,2016-11-30 00:00:00
1048134,Not employed,
1048149,,
1048151,,
1048153,,
1048157,Not employed,
1048209,Employed Full Time,2016-11-15 00:00:00
1048226,Employed Part Time,
1048262,,
1048268,Employed Full Time,2016-08-12 00:00:00
1048269,,
1048270,,
1048271,Employed Part Time,2017-02-13 00:00:00
1048272,,
1048303,Not employed,
1048386,Employed Full Time,2016-08-18 00:00:00
1048412,Not employed,
1048417,Employed Part Time,2016-10-26 00:00:00
1048443,Employed Full Time,2017-05-01 00:00:00
1048468,Employed Full Time,2016-12-01 00:00:00
1048472,Employed Full Time,2016-12-05 00:00:00
1048476,Employed Full Time,2016-09-30 00:00:00
1048528,Employed Full Time,2016-08-29 00:00:00
1048564,,
1048565,,
1048600,Not employed,
1048627,Employed Full Time,
1048631,Employed Full Time,
1048636,Not employed,
1048643,,
1048645,,
1048646,Employed Full Time,2016-12-27 00:00:00
1048672,Not employed,
1048683,Employed Full Time,2016-09-12 00:00:00
1048684,Employed Full Time,
1048745,Employed Full Time,
1048821,Employed Part Time,2016-12-05 00:00:00
1048867,Employed Full Time,2017-02-20 00:00:00
1048936,Employed Full Time,2017-01-11 00:00:00
1048967,Employed Full Time,2016-09-08 00:00:00
1049055,Not employed,
1049123,Employed Full Time,2017-01-11 00:00:00
1049245,Employed Full Time,2016-11-28 00:00:00
1049271,Not employed,
1049304,Employed Full Time,2016-11-08 00:00:00
1049326,Not employed,
1050061,,
1050153,Employed Part Time,2016-10-04 00:00:00
1050219,,
1050245,,
1050433,Employed Full Time,
1050467,Employed Full Time,
1050474,Employed Full Time,2017-01-04 00:00:00
1050978,Employed Full Time,
1051379,Employed Full Time,
1051384,Employed Part Time,2017-03-13 00:00:00
1051404,Employed Full Time,2017-06-21 00:00:00
1051426,Not employed,
1051495,,
1052173,,
1052346,Employed Full Time,
1052591,Employed Full Time,
1052834,Employed Full Time,2016-12-06 00:00:00
1052910,Employed Full Time,2016-10-31 00:00:00
1052946,Employed Full Time,2002-02-06 00:00:00
1052962,Employed Full Time,2013-12-31 00:00:00
1053133,Employed Full Time,
1053428,Employed Full Time,
1053531,,
1053582,Employed Full Time,
1053607,Employed Full Time,
1053608,,
1053937,Not employed,
1053989,,
1054735,,
1054773,Employed Full Time,
1054926,Employed Full Time,2016-09-15 00:00:00
1055075,,
1055078,,
1055079,,
1055163,,
1055164,Employed Full Time,2016-10-27 00:00:00
1055165,Employed Full Time,2016-10-27 00:00:00
1055166,,
1055170,Employed Part Time,2016-09-15 00:00:00
1055184,Not employed,
1055189,Employed Full Time,
1055190,Employed Full Time,2017-01-18 00:00:00
1055191,Employed Full Time,2016-11-08 00:00:00
1055213,Not employed,
1055216,Not employed,
1055217,Employed Part Time,
1055247,Not employed,
1055250,Not employed,
1055279,Not employed,
1055321,Not employed,
1055322,,
1055323,Employed Part Time,
1055327,,
1055343,Employed Part Time,
1055346,Employed Full Time,2017-01-10 00:00:00
1055353,Employed Part Time,
1055354,Employed Full Time,
1055383,Employed Full Time,
1055384,Not employed,
1055386,Not employed,
1055408,Employed Full Time,2016-12-13 00:00:00
1055409,Not employed,
1055410,Not employed,
1055411,Employed Part Time,2017-08-15 00:00:00
1055412,Not employed,
1055427,Not employed,
1055428,Employed Full Time,
1055434,Employed Full Time,2016-11-15 00:00:00
1055435,Employed Full Time,
1055436,Not employed,
1055437,Employed Full Time,2017-02-13 00:00:00
1055438,Not employed,
1055476,,
1055481,,
1055490,,
1055491,Employed Full Time,
1055493,,
1055494,Employed Full Time,2014-04-01 00:00:00
1055496,,
1055497,,
1055504,,
1055515,Not employed,
1055517,Employed Part Time,2016-12-26 00:00:00
1055518,Not employed,
1055519,Not employed,
1055533,Employed Full Time,
1055535,Not employed,
1055536,Not employed,
1055548,Employed Full Time,2017-02-04 00:00:00
1055549,Employed Full Time,
1055553,Employed Full Time,2016-11-28 00:00:00
1055556,Not employed,
1055557,Employed Full Time,2017-01-24 00:00:00
1055562,Not employed,
1055576,Employed Full Time,2017-05-17 00:00:00
1055591,Not employed,
1055592,Not employed,
1055603,,
1055643,Not employed,
1055649,Employed Part Time,
1055658,,
1055659,Employed Full Time,
1055660,Employed Part Time,
1055662,Employed Full Time,
1055667,Employed Part Time,
1055668,Employed Part Time,2016-12-08 00:00:00
1055669,Employed Full Time,2016-10-10 00:00:00
1055670,Employed Full Time,2016-12-20 00:00:00
1055671,Not employed,
1055672,Employed Full Time,
1055673,Employed Full Time,2016-12-07 00:00:00
1055674,Employed Full Time,2016-12-03 00:00:00
1055696,Employed Full Time,
1055700,Not employed,
1055710,Employed Full Time,
1055752,Employed Part Time,
1055772,Employed Part Time,
1055778,Not employed,
1055781,Not employed,
1055813,Employed Full Time,2017-01-26 00:00:00
1055824,Employed Full Time,2016-12-19 00:00:00
1055826,Employed Full Time,2017-01-20 00:00:00
1055842,Employed Part Time,
1055845,Employed Full Time,2017-01-27 00:00:00
1055856,Employed Full Time,2017-02-08 00:00:00
1055858,Employed Full Time,
1055867,Employed Full Time,2017-01-19 00:00:00
1055876,Not employed,
1055882,Employed Full Time,
1055886,Employed Full Time,2009-09-28 00:00:00
1055887,Employed Full Time,2017-07-01 00:00:00
1055888,Employed Part Time,2017-01-02 00:00:00
1055952,Employed Full Time,
1055954,,
1055955,,
1055958,,
1055960,Employed Part Time,2017-02-13 00:00:00
1055970,Employed Full Time,
1055971,Not employed,
1055972,Employed Full Time,
1055975,Not employed,
1055983,Employed Full Time,
1056003,Not employed,
1056042,Not employed,
1056045,,
1056048,Employed Full Time,
1056103,,
1056119,Not employed,
1056148,,
1056224,Not employed,
1056248,Not employed,
1056267,,
1056286,,
1056303,Employed Full Time,2017-09-18 00:00:00
1056328,,
1056329,Not employed,
1056335,Employed Full Time,2017-02-22 00:00:00
1056367,Employed Full Time,
1056378,,
1056381,,
1056383,Not employed,
1056385,Not employed,
1056443,,
1056465,,
1056468,Not employed,
1056469,Employed Part Time,
1056470,,
1056501,,
1056561,,
1056564,Employed Full Time,2017-02-08 00:00:00
1056567,Not employed,
1056588,Employed Full Time,2017-07-26 00:00:00
1056600,,
1056623,,
1056676,Employed Full Time,2018-02-20 00:00:00
1056693,,
1056703,,
1056706,,
1056737,,
1056738,Employed Full Time,2017-03-02 00:00:00
1056739,Employed Full Time,2017-03-02 00:00:00
1056745,Employed Full Time,2017-03-01 00:00:00
1056766,,
1056767,Not employed,
1056781,Employed Full Time,2017-04-10 00:00:00
1056813,,
1056875,Employed Full Time,2017-03-03 00:00:00
1056876,Employed Full Time,2017-03-03 00:00:00
1056952,Employed Part Time,
1056959,Not employed,
1056964,Employed Full Time,2018-03-19 00:00:00
1056971,Employed Part Time,
1056991,,
1057006,,
1057007,Not employed,
1057027,,
1057039,Not employed,
1057135,,
1057142,,
1057188,Employed Full Time,
1057310,,
1057312,,
1057334,Employed Full Time,
1057339,Employed Part Time,2017-10-11 00:00:00
1057340,Employed Full Time,2017-10-11 00:00:00
1057342,Not employed,
1057343,Not employed,
1057345,Not employed,
1057376,Employed Full Time,
1057381,Employed Full Time,
1057391,Employed Part Time,2017-11-06 00:00:00
1057434,Employed Full Time,2017-05-17 00:00:00
1057458,Employed Full Time,2017-05-25 00:00:00
1057491,Employed Full Time,2017-05-24 00:00:00
1057499,Not employed,
1057502,Employed Full Time,2017-05-30 00:00:00
1057506,Employed Full Time,2017-06-20 00:00:00
1057507,Employed Full Time,2015-06-23 00:00:00
1057540,Employed Full Time,2017-06-01 00:00:00
1057581,,
1057586,Employed Full Time,2018-09-01 00:00:00
1057607,Employed Full Time,2017-01-01 00:00:00
1057608,Employed Full Time,2017-05-05 00:00:00
1057629,,
1057643,Not employed,
1057671,,
1057676,Not employed,
1057681,Not employed,
1057694,Employed Full Time,2017-12-12 00:00:00
1057712,Not employed,
1057730,Employed Full Time,
1057739,Not employed,
1057767,,
1057776,Not employed,
1057785,Not employed,
1057786,,
1057787,Not employed,
1057799,Employed Full Time,2017-06-13 00:00:00
1057801,Not employed,
1057824,Not employed,
1057892,Employed Full Time,2017-10-09 00:00:00
1057916,,
1057971,Employed Part Time,2015-08-04 00:00:00
1057974,Not employed,
1058003,Employed Full Time,2017-05-05 00:00:00
1058022,Employed Full Time,2017-07-05 00:00:00
1058036,Employed Full Time,2015-10-15 00:00:00
1058043,Not employed,
1058045,Not employed,
1058052,Employed Part Time,
1058065,Not employed,
1058081,Employed Full Time,2017-06-02 00:00:00
1058082,,
1058083,,
1058086,,
1058100,,
1058122,Not employed,
1058123,Employed Full Time,2011-06-15 00:00:00
1058139,Not employed,
1058150,Not employed,
1058160,Employed Full Time,2015-07-15 00:00:00
1058163,Not employed,
1058166,Not employed,
1058167,Employed Full Time,2017-07-24 00:00:00
1058172,Employed Full Time,2018-05-21 00:00:00
1058176,Employed Full Time,2018-03-13 00:00:00
1058193,Employed Full Time,2018-05-30 00:00:00
1058215,Not employed,
1058240,Not employed,
1058246,Employed Full Time,2018-10-25 00:00:00
1058251,Not employed,
1058266,Not employed,
1058267,Employed Full Time,2017-10-11 00:00:00
1058309,Employed Full Time,2017-09-14 00:00:00
1058332,Not employed,
1058345,Employed Full Time,2017-10-02 00:00:00
1058356,Employed Full Time,2017-07-26 00:00:00
1058366,Not employed,
1058402,Employed Part Time,2017-03-07 00:00:00
1058496,Employed Full Time,2017-07-01 00:00:00
1058565,Not employed,
1058589,Not employed,
1058610,Not employed,
1058676,Employed Part Time,2017-02-15 00:00:00
1058677,Not employed,
1058679,Employed Full Time,2016-11-01 00:00:00
1058684,Not employed,
1058689,Employed Part Time,2017-09-18 00:00:00
1058732,Not employed,
1058783,Not employed,
1058786,Employed Full Time,2017-05-16 00:00:00
1058793,,
1058822,Not employed,
1058832,,
1058850,Not employed,
1058851,Employed Full Time,2017-08-11 00:00:00
1058878,Not employed,
1058966,Employed Full Time,2017-08-07 00:00:00
1058967,Employed Full Time,2017-07-19 00:00:00
1058993,Employed Full Time,2017-09-20 00:00:00
1059015,Not employed,
1059027,Not employed,
1059101,Not employed,
1059110,Employed Full Time,2018-09-13 00:00:00
1059136,Not employed,
1059155,Employed Full Time,2018-01-03 00:00:00
1059183,,1900-01-01 00:00:00
1059263,Not employed,
1059278,Not employed,
1059336,Employed Full Time,2016-03-16 00:00:00
1059374,Not employed,
1059375,Not employed,
1059381,Employed Full Time,2017-10-15 00:00:00
1059384,Employed Full Time,2017-08-01 00:00:00
1059389,Not employed,
1059395,Not employed,
1059745,Not employed,
1059848,Not employed,
1059861,Employed Full Time,2017-11-19 00:00:00
1059886,Employed Full Time,2017-10-16 00:00:00
1059887,Employed Full Time,2017-10-01 00:00:00
1059903,Not employed,
1059997,Employed Full Time,2018-09-06 00:00:00
1060048,,
1060052,Employed Full Time,2012-11-19 00:00:00
1060058,Not employed,
1060098,Not employed,
1060105,Not employed,
1060164,Employed Full Time,2008-06-15 00:00:00
1060284,Employed Part Time,2018-01-15 00:00:00
1060484,Employed Full Time,2018-01-12 00:00:00
1060598,Not employed,
1060647,Not employed,
1060684,,
1060685,Not employed,
1060903,Not employed,
1061306,0,1900-01-01 00:00:00
1061321,Not employed,
1061361,,
1061424,Not employed,
1061477,Not employed,
1061489,Not employed,
1061522,Employed Part Time,1998-08-03 00:00:00
1061523,Employed Full Time,2018-02-01 00:00:00
1061524,Not employed,
1061525,Not employed,
1061553,Employed Full Time,2017-10-01 00:00:00
