,BenefitsScreening,BenefitsAccess,AgencyProvidedSupport,AccessIncome,AccessEmployment,AccessFinancialCoach,BundledServices
340,No,No,No,No,Yes,Yes,2
341,No,No,,No,Yes,No,1
342,Yes,No,,Yes,No,Yes,2
343,Yes,No,,Yes,Yes,Yes,3
344,No,No,,No,Yes,No,1
345,No,No,No,No,No,Yes,1
346,Yes,No,,Yes,Yes,Yes,3
347,Yes,Yes,No,Yes,No,Yes,2
348,No,No,Yes,Yes,No,Yes,2
349,Yes,No,No,Yes,Yes,No,2
350,Yes,No,No,Yes,No,Yes,2
351,Yes,No,Yes,Yes,Yes,Yes,3
352,No,No,No,No,No,Yes,1
353,No,No,No,No,Yes,Yes,2
354,Yes,Yes,,Yes,No,Yes,2
355,Yes,No,,Yes,Yes,Yes,3
356,Yes,No,,Yes,Yes,Yes,3
357,No,No,,No,No,Yes,1
358,No,No,,No,Yes,No,1
359,No,No,No,No,Yes,No,1
360,No,No,,No,Yes,No,1
361,Yes,No,No,Yes,Yes,Yes,3
362,Yes,No,,Yes,Yes,Yes,3
363,No,No,No,No,Yes,Yes,2
364,Yes,No,No,Yes,No,Yes,2
365,No,No,No,No,Yes,No,1
366,Yes,No,,Yes,Yes,Yes,3
367,Yes,No,No,Yes,Yes,Yes,3
368,Yes,Yes,No,Yes,Yes,Yes,3
369,Yes,No,,Yes,Yes,Yes,3
370,Yes,No,,Yes,Yes,Yes,3
371,Yes,No,,Yes,Yes,Yes,3
372,No,No,No,No,No,Yes,1
373,Yes,No,,Yes,Yes,No,2
374,Yes,Yes,No,Yes,No,Yes,2
375,Yes,Yes,No,Yes,No,Yes,2
376,No,No,No,No,Yes,Yes,2
377,No,No,,No,Yes,Yes,2
378,No,No,,No,No,Yes,1
379,No,No,No,No,No,Yes,1
380,No,Yes,No,Yes,No,Yes,2
381,Yes,No,No,Yes,Yes,Yes,3
382,Yes,Yes,,Yes,Yes,Yes,3
383,No,No,Yes,Yes,Yes,Yes,3
384,No,No,No,No,Yes,Yes,2
385,No,No,,No,No,Yes,1
