,Savings,CreditScore,Debt
1235,10000,687,
1236,0,613,0
1237,0,,15000
1238,0,,0
1239,0,,0
1240,0,,35000
1241,500,,0
1242,0,,4870
1243,0,,19100
1244,,,
1245,0,,0
1246,0,541,4744
1247,290,,716
1248,0,,14000
1249,,,
1250,0,564,0
1251,0,597,0
1252,0,535,64480
1253,2000,,0
1254,0,569,27959
1255,,,
1256,0,504,6209
1257,0,547,36666
1258,0,621,244
1259,,,
1260,,,
1261,150,,1606
1262,0,,1500
1263,0,591,2699
1264,0,,0
1265,0,,2400
1266,0,,8000
1267,0,,11500
1268,0,,0
1269,0,,0
1270,0,,0
1271,0,515,0
1272,,,
1273,0,,0
1274,0,,0
1275,0,,0
1276,0,613,0
1277,0,,0
1278,0,,200000
1279,0,,0
1280,0,,0
1281,0,,64
1282,0,,0
1283,0,,0
1284,,,
1285,,,
1286,,,
1287,0,,1000
1288,,,
1289,0,,73032
1290,0,,1538
1291,0,,0
1292,0,,0
1293,0,,31000
1294,,,
1295,,,
1296,0,,2500
1297,0,,28000
1298,0,,0
1299,0,,5000
1300,0,,16000
1301,0,,0
1302,0,,29000
1303,,,
1304,0,449,41000
1305,3000,,0
1306,0,,8000
1307,0,,0
1308,600,,20000
1309,0,,0
1310,0,,1200
1311,0,,0
1312,0,,0
1313,0,,0
1314,0,,0
1315,0,,3500
1316,7500,,0
1317,800,,0
1318,,,
1319,500,,0
1320,0,,0
1321,0,,0
1322,0,,49000
1323,1311.44,749,0
1324,0,593,0
1325,0,,0
1326,0,534,11923
1327,0,500,0
1328,0,,0
1329,200,,0
1330,0,,0
1331,200,,8780
1332,0,,3960
1333,,,
1334,,,
1335,0,,4000
1336,,,
1337,0,506,0
1338,1000,,3000
1339,0,,24000
1340,0,,1200
1341,0,,600
1342,,,
1343,0,,0
1344,0,,0
1345,0,,24000
1346,0,,3000
1347,0,,122000
1348,0,,8000
1349,12000,,600
1350,,,
1351,0,,0
1352,,,
1353,0,,0
1354,0,792,0
1355,1600,,7200
1356,500,,0
1357,,,
1358,0,539,0
1359,0,400,150000
1360,0,,53000
1361,0,,35000
1362,0,,17000
1363,,,
1364,65,630,0
1365,,,
1366,0,,10000
1367,0,,0
1368,,,
1369,0,575,0
1370,0,,0
1371,0,,0
1372,,,
1373,0,,18500
1374,0,,0
1375,0,,0
1376,0,,19000
1377,0,,0
1378,0,,4000
1379,0,,0
1380,4.4,,0
1381,0,,0
1382,0,,25000
1383,0,,45000
1384,0,,6000
1385,0,,90000
1386,30,,20000
1387,0,,9000
1388,0,,12000
1389,,,
1390,1000,,1200
1391,,,
1392,0,,200000
1393,0,,10000
1394,0,,0
1395,0,,68000
1396,0,,0
1397,0,,20487
1398,85,,0
1399,0,,645
1400,5000,,16000
1401,1000,,0
1402,200,,700
1403,0,,0
1404,20000,,10000
1405,0,,0
1406,0,,9000
1407,2800,,40000
1408,0,,0
1409,3000,,0
1410,0,,0
1411,0,,0
1412,400,,20000
1413,0,,1050
1414,2000,,0
1415,0,,0
1416,400,,1800
1417,0,,15350
1418,350,,36509
1419,0,,1550
1420,800,,5000
1421,0,,1400
1422,0,,0
1423,0,,0
1424,186,,800
1425,0,,0
1426,0,,12000
1427,0,,150000
1428,1000,,15000
1429,0,,30000
1430,0,,16000
1431,0,,16000
1432,0,,3000
1433,0,,19900
1434,0,,350
1435,0,,63680
