,BenefitsScreening,PublicBenefitsAccess,AgencyProvidedSupport,AccessIncome,AccessEmployment,AccessFinancialCoach,BundledServices
506,No,No,No,No,No,Yes,1
507,No,No,No,No,No,Yes,1
508,No,No,No,No,No,Yes,1
509,No,No,No,No,No,Yes,1
510,No,No,No,No,Yes,Yes,2
511,No,No,No,No,Yes,Yes,2
512,No,No,No,No,No,Yes,1
513,No,No,No,No,No,Yes,1
514,No,No,Yes,Yes,No,Yes,2
515,No,No,No,No,No,Yes,1
516,No,No,Yes,Yes,Yes,Yes,3
517,No,No,Yes,Yes,No,Yes,2
518,Yes,No,Yes,Yes,Yes,Yes,3
519,No,No,Yes,Yes,No,Yes,2
520,No,No,Yes,Yes,Yes,Yes,3
521,No,No,Yes,Yes,No,Yes,2
522,No,No,Yes,Yes,No,Yes,2
523,No,No,Yes,Yes,No,Yes,2
524,No,No,Yes,Yes,No,Yes,2
525,No,No,Yes,Yes,No,Yes,2
526,No,No,Yes,Yes,No,Yes,2
527,No,No,Yes,Yes,No,Yes,2
528,No,No,Yes,Yes,Yes,Yes,3
529,No,No,Yes,Yes,No,Yes,2
530,No,No,Yes,Yes,No,Yes,2
531,No,No,Yes,Yes,No,Yes,2
532,No,No,Yes,Yes,No,Yes,2
533,No,No,Yes,Yes,Yes,Yes,3
534,No,No,Yes,Yes,No,Yes,2
535,No,No,Yes,Yes,No,Yes,2
536,No,No,Yes,Yes,No,Yes,2
537,No,No,Yes,Yes,No,Yes,2
538,No,No,Yes,Yes,No,Yes,2
539,No,No,Yes,Yes,Yes,Yes,3
540,No,No,Yes,Yes,Yes,Yes,3
541,No,No,Yes,Yes,No,Yes,2
542,No,No,Yes,Yes,No,Yes,2
543,No,No,Yes,Yes,No,Yes,2
544,No,No,Yes,Yes,No,Yes,2
545,No,No,Yes,Yes,No,Yes,2
546,No,No,Yes,Yes,No,Yes,2
547,No,No,Yes,Yes,No,Yes,2
548,No,No,Yes,Yes,No,Yes,2
549,No,No,Yes,Yes,No,Yes,2
550,No,No,Yes,Yes,No,Yes,2
551,No,No,Yes,Yes,No,Yes,2
552,No,No,Yes,Yes,No,Yes,2
553,No,No,Yes,Yes,No,Yes,2
554,No,No,Yes,Yes,No,Yes,2
555,No,No,Yes,Yes,No,Yes,2
556,No,No,Yes,Yes,No,Yes,2
557,No,No,Yes,Yes,No,Yes,2
558,No,No,Yes,Yes,No,Yes,2
559,No,No,Yes,Yes,No,Yes,2
560,No,No,Yes,Yes,No,Yes,2
561,No,No,Yes,Yes,No,Yes,2
562,No,No,Yes,Yes,No,Yes,2
563,No,No,Yes,Yes,No,Yes,2
564,No,No,Yes,Yes,Yes,Yes,3
565,No,No,Yes,Yes,Yes,Yes,3
566,No,No,Yes,Yes,Yes,Yes,3
567,No,No,Yes,Yes,Yes,Yes,3
568,No,No,Yes,Yes,No,Yes,2
569,No,No,Yes,Yes,Yes,Yes,3
570,Yes,No,No,Yes,Yes,Yes,3
571,Yes,No,No,Yes,No,Yes,2
572,Yes,No,No,Yes,No,Yes,2
573,No,No,No,No,Yes,Yes,2
574,No,No,No,No,No,Yes,1
575,No,No,No,No,No,Yes,1
576,No,No,No,No,No,Yes,1
577,No,No,No,No,No,Yes,1
578,No,No,No,No,No,Yes,1
579,No,No,No,No,No,Yes,1
580,No,No,No,No,No,Yes,1
581,No,No,No,No,No,Yes,1
582,No,No,No,No,Yes,Yes,2
583,No,No,No,No,No,Yes,1
584,No,No,No,No,No,Yes,1
585,No,No,No,No,No,Yes,1
586,No,No,No,No,No,Yes,1
587,No,No,No,No,Yes,Yes,2
588,No,No,No,No,No,Yes,1
589,No,No,No,No,Yes,Yes,2
590,No,No,No,No,No,Yes,1
591,No,No,No,No,Yes,Yes,2
592,No,No,No,No,No,Yes,1
593,No,No,No,No,Yes,Yes,2
594,No,No,No,No,No,Yes,1
595,No,No,No,No,No,Yes,1
596,No,No,No,No,No,Yes,1
597,No,No,No,No,No,Yes,1
598,No,No,No,No,No,Yes,1
599,No,No,No,No,No,Yes,1
600,No,No,No,No,No,Yes,1
601,No,No,No,No,No,Yes,1
602,No,No,No,No,No,Yes,1
603,No,No,No,No,No,Yes,1
604,No,No,No,No,Yes,Yes,2
605,No,No,No,No,No,Yes,1
606,No,No,No,No,No,Yes,1
607,No,No,No,No,No,Yes,1
608,No,No,No,No,No,Yes,1
609,No,No,Yes,Yes,Yes,Yes,3
610,Yes,No,Yes,Yes,Yes,Yes,3
611,No,No,Yes,Yes,Yes,Yes,3
612,No,No,Yes,Yes,Yes,Yes,3
613,No,No,Yes,Yes,Yes,Yes,3
614,Yes,Yes,Yes,Yes,Yes,Yes,3
615,No,No,Yes,Yes,Yes,Yes,3
616,Yes,Yes,Yes,Yes,Yes,Yes,3
617,No,No,Yes,Yes,Yes,Yes,3
618,Yes,No,Yes,Yes,Yes,Yes,3
619,No,Yes,Yes,Yes,Yes,Yes,3
620,No,No,Yes,Yes,Yes,Yes,3
621,No,No,Yes,Yes,Yes,Yes,3
622,No,No,Yes,Yes,Yes,Yes,3
623,Yes,No,Yes,Yes,Yes,Yes,3
624,No,No,Yes,Yes,Yes,Yes,3
625,No,No,Yes,Yes,Yes,Yes,3
626,No,No,Yes,Yes,Yes,Yes,3
627,Yes,Yes,Yes,Yes,Yes,Yes,3
628,No,No,Yes,Yes,Yes,Yes,3
629,No,No,Yes,Yes,Yes,Yes,3
630,No,No,Yes,Yes,Yes,Yes,3
631,No,No,Yes,Yes,Yes,Yes,3
632,No,No,Yes,Yes,Yes,Yes,3
633,No,No,Yes,Yes,Yes,Yes,3
634,No,No,Yes,Yes,Yes,Yes,3
635,Yes,Yes,Yes,Yes,Yes,Yes,3
636,Yes,No,Yes,Yes,Yes,Yes,3
637,No,Yes,Yes,Yes,Yes,Yes,3
638,No,No,Yes,Yes,Yes,Yes,3
639,Yes,No,Yes,Yes,Yes,Yes,3
640,No,No,Yes,Yes,Yes,Yes,3
