,Wages1,Hours1,Wages2,Hours2
1577,0,,,
1578,0,,,
1579,0,0,,
1580,15.63,10,,
1581,9,40,,
1582,0,0,,
1583,10,40,,
1584,10,25,,
1585,16.97,20,,
1586,11,25,,
1587,12,40,,
1588,15,40,,
1589,11,20,,
1590,11,36,,
1591,0,0,,
1592,32.81,60,,
1593,18,40,,
1594,0,0,,
1595,0,0,,
1596,9.5,20,,
1597,0,0,,
1598,25,40,,
1599,0,0,,
1600,12,40,,
1601,15.5,40,,
1602,14,45,,
1603,0,0,,
1604,0,0,,
1605,40.27,40,,
1606,31.25,40,,
1607,0,0,,
1608,8.86,15,,
1609,14,40,,
1610,0,0,,
1611,9,40,,
1612,11,40,,
1613,18,10,,
1614,9.25,25,,
1615,0,0,,
1616,17,40,,
1617,7.25,10,,
1618,0,0,,
1619,0,0,,
1620,22,40,,
1621,10,20,,
1622,0,0,,
1623,8,35,,
1624,0,0,,
1625,13,32,,
1626,18,40,,
1627,0,0,,
1628,8.5,16,,
1629,15,20,,
1630,12,40,,
1631,0,0,,
1632,13,40,,
1633,0,0,,
1634,0,0,,
1635,14.5,40,,
1636,11.5,38,,
1637,0,0,,
1638,12.5,40,,
1639,19,40,,
1640,9,20,,
1641,2.1,60,,
1642,0,0,,
1643,13,40,,
1644,13,40,,
1645,0,0,,
1646,0,0,,
1647,8,35,,
1648,0,0,,
1649,9.4,40,,
1650,14.5,50,,
1651,11,25,,
1652,0,0,,
1653,0,0,,
1654,0,0,,
1655,0,0,,
1656,0,0,,
1657,0,0,,
1658,0,0,,
1659,17.79,40,,
1660,18,40,,
1661,0,0,,
1662,0,0,,
1663,7.25,20,,
1664,15,40,,
