,Savings,CreditScore,Debt
1612,,,
1613,,,
1614,,,
1615,7500,720,
1616,,,
1617,,,
1618,0,520,40000
1619,201,,160000
1620,,,
1621,,,
1622,,,
1623,1500,738,
1624,0,750,
1625,65000,,
1626,,,
1627,,,
1628,,542,
1629,0,580,
1630,300,,
1631,1000,,
1632,5,595,
1633,,,
1634,,,
1635,0,520,
1636,,,
1637,200,751,
1638,,,
1639,,477,
1640,0,,
1641,0,,
1642,250,,10000
1643,940,,18620
1644,,732,
1645,0,630,65000
1646,20000,800,116000
1647,0,470,10000
1648,80,,
1649,0,465,
1650,300,507,7000
1651,0,630,115000
1652,100,760,16600
1653,8000,700,1000
1654,0,457,25000
1655,0,,5700
1656,0,652,20000
1657,520,540,200000
1658,0,,4000
1659,0,,
1660,0,400,20000
1661,,,
1662,0,,289
1663,50,568,0
1664,80000,,106000
1665,,,
1666,,625,5500
1667,0,673,50000
1668,23,720,3000
1669,0,600,
1670,0,790,38000
1671,,,
1672,0,,7000
1673,,568,
1674,150,649,71000
1675,,,
1676,1500,,2000
1677,,527,0
1678,0,,
1679,0,,
1680,0,,
1681,0,,
1682,2000,,
1683,,525,
1684,,,60000
1685,20,550,6000
1686,0,,5000
1687,0,,0
1688,,,7000
1689,10000,640,800
1690,1000,754,280000
1691,0,,
1692,1000,,0
1693,53,,
